,Sample name,AA amplicon number,Feature ID,Classification,Location,Oncogenes,Complexity score,Captured interval length,Feature median copy number,Feature maximum copy number,Filter flag,Reference version,Tissue of origin,Sample type,Feature BED file,CNV BED file,AA PNG file,AA PDF file,AA summary file,Run metadata JSON,Sample metadata JSON,All genes
0,5637_URINARY_TRACT,1.0,5637_URINARY_TRACT_amplicon1_ecDNA_1,ecDNA,['chr6:20350615-22839372'],"['E2F3', 'SOX4']",1.2231668014006596,2488757.0,29.75728688271195,67.41932920134495,None,GRCh38,urinary tract,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/5637_URINARY_TRACT_amplicon1_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/5637_URINARY_TRACT.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/5637_URINARY_TRACT_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/5637_URINARY_TRACT_sample_metadata.json,"['CASC15', 'CDKAL1', 'E2F3', 'HDGFL1', 'NBAT1', 'PRL', 'SOX4']"
1,5637_URINARY_TRACT,1.0,5637_URINARY_TRACT_amplicon1_ecDNA_2,ecDNA,"['chr3:9099507-9519221', 'chr3:9521655-10184493', 'chr3:10187258-14005720']","['FANCD2', 'PPARG', 'RAF1', 'SRGAP3', 'VHL']",0.7095808656738307,4901014.0,13.1750189607799,17.283489630383706,None,GRCh38,urinary tract,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/5637_URINARY_TRACT_amplicon1_ecDNA_2_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/5637_URINARY_TRACT.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/5637_URINARY_TRACT_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/5637_URINARY_TRACT_sample_metadata.json,"['ARPC4', 'ARPC4-TTLL3', 'ATG7', 'ATP2B2', 'ATP2B2-IT2', 'BRK1', 'BRPF1', 'CAMK1', 'CAND2', 'CIDEC', 'CIDECP1', 'CPNE9', 'CRELD1', 'EMC3', 'EMC3-AS1', 'FANCD2', 'FANCD2OS', 'FBLN2', 'FGD5P1', 'GHRL', 'GHRLOS', 'HDAC11', 'HDAC11-AS1', 'HRH1', 'IL17RC', 'IL17RE', 'IQSEC1', 'IRAK2', 'JAGN1', 'LHFPL4', 'MKRN2', 'MKRN2OS', 'MTMR14', 'NUP210', 'OGG1', 'PPARG', 'PRRT3', 'PRRT3-AS1', 'RAF1', 'RPL32', 'RPUSD3', 'SEC13', 'SETD5', 'SLC6A1', 'SLC6A1-AS1', 'SLC6A11', 'SNORA7A', 'SNORA93', 'SRGAP3', 'SRGAP3-AS2', 'SRGAP3-AS3', 'SRGAP3-AS4', 'SYN2', 'TADA3', 'TAMM41', 'TATDN2', 'THUMPD3', 'THUMPD3-AS1', 'TIMP4', 'TMEM40', 'TPRXL', 'TSEN2', 'TTLL3', 'VGLL4', 'VHL', 'WNT7A']"
2,59M_OVARY,1.0,59M_OVARY_amplicon1_Complex non-cyclic_1,Complex non-cyclic,"['chr5:51400000-52863895', 'chr9:104220123-104600584', 'chr9:104600954-105410708', 'chr9:110623485-111967773']",[],0.935891876853242,3998398.0,5.026092559341866,5.787943177670361,None,GRCh38,ovary,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/59M_OVARY_amplicon1_Complex non-cyclic_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/59M_OVARY.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon1.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon1.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/59M_OVARY_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/59M_OVARY_sample_metadata.json,"['ABCA1', 'DNAJC25', 'DNAJC25-GNG10', 'ECPAS', 'GNG10', 'ITGA1', 'LPAR1', 'LRRC37A5P', 'MUSK', 'NIPSNAP3A', 'NIPSNAP3B', 'OR13C2', 'OR13C3', 'OR13C4', 'OR13C5', 'OR13C8', 'OR13C9', 'OR13D1', 'OR13F1', 'OR2K2', 'PELO', 'PTGR1', 'SHOC1', 'SLC44A1', 'UGCG', 'ZNF483']"
3,59M_OVARY,2.0,59M_OVARY_amplicon2_ecDNA_2,ecDNA,"['chr8:124484622-125582885', 'chr8:125588889-125953950']",['TRIB1'],0.3667049514575795,1463324.0,10.047200594780165,10.047200594780165,None,GRCh38,ovary,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/59M_OVARY_amplicon2_ecDNA_2_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/59M_OVARY.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/59M_OVARY_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/59M_OVARY_sample_metadata.json,"['MTSS1', 'NDUFB9', 'NSMCE2', 'SQLE', 'TATDN1', 'TRIB1', 'WASHC5', 'ZNF572']"
4,59M_OVARY,2.0,59M_OVARY_amplicon2_ecDNA_1,ecDNA,"['chr8:52712046-56014576', 'chr8:65533018-65573949', 'chr8:71974787-71975210']",['TCEA1'],1.074873950585688,3343884.0,15.129375054052778,24.85406887144347,None,GRCh38,ovary,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/59M_OVARY_amplicon2_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/59M_OVARY.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/59M_OVARY_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/59M_OVARY_sample_metadata.json,"['ATP6V1H', 'LYN', 'LYPLA1', 'MRPL15', 'NPBWR1', 'OPRK1', 'RB1CC1', 'RGS20', 'RNU105C', 'RP1', 'SBF1P1', 'SNORA1B', 'SOX17', 'TCEA1', 'TGS1', 'TMEM68', 'XKR4']"
5,59M_OVARY,3.0,59M_OVARY_amplicon3_Linear amplification_1,Linear amplification,['chr13:93783238-95278290'],[],0.3801010571276603,1495052.0,4.7397055073344765,4.7397055073344765,LowCN,GRCh38,ovary,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/59M_OVARY_amplicon3_Linear amplification_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/59M_OVARY.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon3.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon3.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/59M_OVARY_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/59M_OVARY_sample_metadata.json,"['DCT', 'GPC6-AS1', 'GPC6-AS2', 'GPR180', 'SNORD13G', 'SOX21', 'SOX21-AS1', 'TGDS']"
6,59M_OVARY,4.0,59M_OVARY_amplicon4_Linear amplification_1,Linear amplification,"['chr13:102029117-102029936', 'chr13:102041569-102768360']",[],0.982895684446686,727610.0,4.693523392236026,4.693523392236026,LowCN,GRCh38,ovary,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/59M_OVARY_amplicon4_Linear amplification_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/59M_OVARY.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon4.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon4.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/59M_OVARY_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/59M_OVARY_sample_metadata.json,"['CCDC168', 'FGF14', 'FGF14-AS1', 'FGF14-AS2', 'FGF14-IT1', 'METTL21C', 'TPP2']"
7,59M_OVARY,5.0,59M_OVARY_amplicon5_Linear amplification_1,Linear amplification,['chr16:35231372-35300001'],[],3.6692870963854694e-13,68629.0,5.196021662541906,5.196021662541906,None,GRCh38,ovary,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/59M_OVARY_amplicon5_Linear amplification_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/59M_OVARY.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon5.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon5.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/59M_OVARY_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/59M_OVARY_sample_metadata.json,[]
8,8305C_THYROID,1.0,8305C_THYROID_amplicon1_ecDNA_1,ecDNA,"['chr8:33167666-33301262', 'chr8:33302858-34254640', 'chr20:34283685-34285398', 'chr20:34299250-34611096']",['DUSP26'],0.375312267707661,1398937.0,25.987924878490592,44.56189628743522,None,GRCh38,thyroid,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/8305C_THYROID_amplicon1_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/8305C_THYROID.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/8305C_THYROID/8305C_THYROID_AA_results/8305C_THYROID_amplicon1.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/8305C_THYROID/8305C_THYROID_AA_results/8305C_THYROID_amplicon1.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/8305C_THYROID/8305C_THYROID_AA_results/8305C_THYROID_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/8305C_THYROID_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/8305C_THYROID_sample_metadata.json,"['AHCY', 'DUSP26', 'DYNLRB1', 'FUT10', 'ITCH', 'MAK16', 'MAP1LC3A', 'RNF122', 'SNORD13', 'TTI2']"
9,A101D_SKIN,1.0,A101D_SKIN_amplicon1_BFB_1,BFB,"['chr7:134565913-134821600', 'chr7:134821820-135015908']",[],0.7609234702272206,449775.0,6.235191393190831,6.235191393190831,LowCN,GRCh38,skin,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/A101D_SKIN_amplicon1_BFB_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/A101D_SKIN.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_amplicon1.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_amplicon1.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/A101D_SKIN_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/A101D_SKIN_sample_metadata.json,"['AGBL3', 'BPGM', 'CALD1']"
